1116211054888886272,2
534111616212533258,2
1158799621699666051,1
930834558444773446,1
365163371101814794,2
1158882716926873722,2
1179093444367491115,1
1113673648595812413,1
879689038712434740,1
814532456530182144,1
784903610542194729,1
601293200514351104,1
925006582117457960,1
1110278783300276345,1
1237237928522940506,1
1066432755644252291,1
764968497599217714,2
1137635572836483152,1
609554050450718771,1
1238984813172621345,2
854203302160760874,1
1111861378093944832,1
478971804090630155,3
1005864663659069452,1
1186050973433597999,1
812084225884946502,3
672972385862942747,1
1302710455671853108,1
747768003508174848,1
1044370052394270790,1
1170016774528442389,2
770228321299595266,2
1243713556470431755,3
879776596460990516,1
1037466389163814932,8
1278353911576530999,1
1175837300035436604,2
756631118375288834,1
1143906613074333697,1
1206209727541805099,1
1095778247146479747,1
1058774507097161859,1
1135123660227756052,3
1183442063166025768,1
589187896817352706,1
1083271678982889562,1
1215282511576436787,2
1071597416198983812,2
197830262334291968,1
310836521748004865,1
1264661431903584338,1
324094854571229204,1
